fdc_id,description,mapped_ingredient,
167544,"Snacks, granola bars, soft, uncoated, raisin",raisin granola bar,
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",milk chocolate granola bar,
167546,"Candies, honey-combed, with peanut butter",peanut butter candy,
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",chocolate and peanut butter granola bar,
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",peanut butter and chocolate chip granola bar,
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",popcorn,
167550,"Snacks, popcorn, cakes",popcorn,
167551,"Snacks, popcorn, caramel-coated, with peanuts",caramel popcorn,
167552,"Snacks, popcorn, caramel-coated, without peanuts",caramel popcorn,
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",potato chips,
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",potato chips,
167555,"Snacks, pretzels, hard, plain, salted",pretzel,
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",chocolate pretzel,
167557,"Snacks, rice cakes, brown rice, sesame seed",brown rice cake,
167558,"Snacks, tortilla chips, plain, white corn, salted",white corn tortilla chip,
167559,"Snacks, tortilla chips, nacho cheese",tortilla chip,
167560,"Snacks, tortilla chips, ranch-flavor",tortilla chip,
167561,"Snacks, trail mix, regular",trail mix,
167562,"Candies, ALMOND JOY Candy Bar",almond joy,
167563,"Candies, TWIZZLERS CHERRY BITES",red licorice,
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",taffy,
167565,"Candies, NESTLE, BUTTERFINGER Bar",butterfinger,
167566,"Candies, caramels, chocolate-flavor roll",caramel,
167567,"Baking chocolate, unsweetened, liquid",chocolate,
167568,"Baking chocolate, unsweetened, squares",chocolate,
167569,"Candies, confectioner's coating, yogurt",yogurt coated candy,
167570,"Candies, confectioner's coating, peanut butter",peanut butter candy,
167571,"Candies, white chocolate",white chocolate,
167572,"Ice creams, vanilla, light",vanilla ice cream,
167573,"Ice creams, vanilla, rich",vanilla ice cream,
167574,"Desserts, flan, caramel custard, prepared-from-recipe",flan,
167575,"Ice creams, vanilla",vanilla ice cream,
167576,"Ice creams, vanilla, light, soft-serve",vanilla ice cream,
167577,"Sherbet, orange",orange sherbert,
167578,"Candies, fudge, peanut butter, prepared-from-recipe",peanut butter fudge,
167579,"Candies, fudge, vanilla, prepared-from-recipe",vanilla fudge,
167580,"Candies, fudge, vanilla with nuts",vanilla fudge with nut,
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",chocolate covered peanut,
167582,"Candies, NESTLE, BABY RUTH Bar",baby ruth bar,
167583,"Candies, TWIZZLERS Strawberry Twists Candy",strawberry candy twist,
167584,"Syrups, table blends, pancake, with butter",syrup,
167585,"Ice creams, chocolate, light",chocolate ice cream,
167586,"Candies, NESTLE, CHUNKY Bar",candy bar,
167587,"Candies, milk chocolate",milk chocolate,
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",banana pudding,
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",banana pudding,
167590,"Andrea's, Gluten Free Soft Dinner Roll",dinner roll,
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",cracker,
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",chocolate vanilla creme cookie,
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",vanilla creme cookie,
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",cheese cracker,
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",cheese cracker,
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",cheese cracker,
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",sandwich bread,
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",sandwich bread,
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",flour,
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",dinner roll,
167601,"Van's, Gluten Free, Totally Original Pancakes",pancake mix,
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",seaweed,
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",seaweed,
167604,"Potatoes, hash brown, refrigerated, unprepared",hash brown,
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",hash brown,
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",sweet potato,
167607,"Moose, meat, raw (Alaska Native)",moose,
167608,"Mashu roots, raw (Alaska Native)",mashu root,
167609,"Moose, liver, braised (Alaska Native)",moose liver,
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",seal,
167611,"Oil, bearded seal (Oogruk) (Alaska Native)",seal oil,
167612,"Oopah (tunicate), whole animal (Alaska Native)",tunicate,
167613,"Owl, horned, flesh, raw (Alaska Native)",owl,
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",salmon,
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",salmon,
167616,"Fish, salmon, king, chinook, liver (Alaska Native)",salmon,
167617,"Duck, scoter, white-winged, meat (Alaska Native)",duck,
167618,"Sea cucumber, yane (Alaska Native)",sea cucumber,
167619,"Squirrel, ground, meat (Alaska Native)",squirrel,
167620,"Tea, tundra, herb and laborador combination (Alaska Native)",herb seasoning,
167621,"Walrus, meat, dried (Alaska Native)",walrus,
167622,"Deer (venison), sitka, raw (Alaska Native)",venison,
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",whale fat,
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",whale fat,
167625,"Oil, whale, bowhead (Alaska Native)",whale oil,
167626,"Fish, whitefish, broad, liver (Alaska Native)",whitefish liver,
167627,"Mush, blue corn with ash (Navajo)",blue corn,
167628,"Cornmeal, blue (Navajo)",cornmeal,
167629,"Melon, banana (Navajo)",melon banana,
167630,Chilchen (Red Berry Beverage) (Navajo),red berry juice,
167631,"Corn, dried (Navajo)",corn,
167632,"Squash, Indian, cooked, boiled (Navajo)",squash,
167633,"Bread, kneel down (Navajo)",bread,
167634,"Mutton, cooked, roasted (Navajo)",mutton,
167635,"Frybread, made with lard (Navajo)",frybread,
167636,Tamales (Navajo),tamale,
167637,"Stew, steamed corn (Navajo)",corn,
167638,"Fish, halibut, raw, with skin (Alaska Native)",halibut,
167639,"Fish, salmon, coho (silver), raw (Alaska Native)",salmon,
167640,"Blueberries, wild, raw (Alaska Native)",blueberries,
167641,"Oil, spotted seal (Alaska Native)",seal oil,
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",salmon,
167643,"Fish, whitefish, eggs (Alaska Native)",whitefish,
167644,"Caribou, rump meat, half dried (Alaska Native)",carribou,
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",salmon,
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",salmon,
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",salmon,
167648,"Fish, sheefish, raw (Alaska Native)",sheefish,
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",top round beef,
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",seal,
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",top round beef,
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",elk,
167653,"Corn, dried, yellow (Northern Plains Indians)",corn,
167654,"Smelt, dried (Alaska Native)",smelt,
167655,"Frybread, made with lard (Apache)",frybread,
167656,Corned beef and potatoes in tortilla (Apache),corned beef,
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",beef taco,
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",beef taco,
167659,"Restaurant, Latino, chicken and rice, entree, prepared",chicken and rice,
167660,"Restaurant, Latino, empanadas, beef, prepared",beef empanada,
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",bean pupusa,
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",cheese pupusa,
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",pork pupusa,
167664,"Restaurant, Latino, tamale, corn",tamale,
167665,"Restaurant, Mexican, spanish rice",spanish rice,
167666,"Restaurant, Mexican, refried beans",refried bean,
167667,"Restaurant, Chinese, egg rolls, assorted",egg roll,
167668,"Restaurant, Chinese, fried rice, without meat",fried rice,
167669,"CRACKER BARREL, steak fries",french fry,
167670,"CRACKER BARREL, grilled sirloin steak",sirloin steak,
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",macaroni and cheese,
167672,"DENNY'S, french fries",french fry,
167673,"DENNY'S, top sirloin steak",sirloin steak,
167674,"Restaurant, Chinese, lemon chicken",lemon chicken,
167675,"Restaurant, Chinese, general tso's chicken",general tsos chicken,
167676,"Restaurant, Chinese, kung pao chicken",kung pao chicken,
167677,"Restaurant, Chinese, vegetable lo mein, without meat",vegetable lo mein,
167678,"Restaurant, Chinese, chicken and vegetables",chicken and vegetables,
167679,"Restaurant, Chinese, orange chicken",orange chicken,
167680,"Restaurant, Italian, spaghetti with meat sauce",spaghetti with meat sauce,
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",powdered flavored drink mix,
167682,"Pectin, liquid",pectin,
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",vanilla ice cream,
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",creamy dressing,
167685,"Bologna, beef and pork, low fat",bologna,
167686,"Milk dessert, frozen, milk-fat free, chocolate",chocolate ice cream,
167687,"Whipped topping, frozen, low fat",whipped topping,
167688,"Cream substitute, powdered, light",powdered cream,
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",peanut butter chocolate candies,
167690,"Babyfood, apple yogurt dessert, strained",apple yogurt,
167691,"Vegetable oil-butter spread, reduced calorie",vegetable oil,
167692,"Salad dressing, blue or roquefort cheese dressing, light",blue cheese dressing,
167693,"Salad dressing, french dressing, reduced calorie",french dressing,
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",sausage,
167695,"Mayonnaise, made with tofu",mayonnaise,
167696,"Frankfurter, beef, low fat",hot dog,
167697,"Milk, buttermilk, fluid, cultured, reduced fat",buttermilk,
167698,"Pork sausage rice links, brown and serve, cooked",pork sausage,
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",blue cheese dressing,
167700,"Salad Dressing, mayonnaise-like, fat-free",salad dressing,
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",milky way,
167702,"Oil, flaxseed, cold pressed",flaxseed oil,
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",cottage cheese,
167704,"Salad dressing, bacon and tomato",bacon,
167705,"Cheese, parmesan, low sodium",parmesan,
167706,"Jams, preserves, marmalade, reduced sugar",jam,
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",vitamin c powder,
167708,"Tomato and vegetable juice, low sodium",tomato juice,
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",turkey wing,
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",turkey drumstick,
167711,"Beverages, Chocolate-flavored drink, whey and milk based",chocolate protein shake,
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",bacon,
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",turkey,
167714,"Hearts of palm, raw",heart of palm,<= Went up to here -- BRIAN
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",wheat cereal,
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",cottage cheese,
167717,Yeast extract spread,yeast spread,
167718,"Babyfood, juice, pear",pear juice,
167719,"Chicken, meatless, breaded, fried",fried chichen,
167720,"Babyfood, meat, beef with vegetables, toddler",beef,
167721,"Frozen novelties, juice type, juice with cream",juice ice cream,
167722,Tofu yogurt,tofu,
167723,"Alcoholic beverage, rice (sake)",rice,
167724,"Millet, puffed",millet,
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",oat bran cereal,
167726,"Babyfood, mixed fruit yogurt, strained",fruit yogurt,
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",protein drink,
167728,"Babyfood, rice and apples, dry",baby food,
167729,"Babyfood, juice, apple - cherry",baby food,
167730,"Milk, imitation, non-soy",imitation milk,
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",baby food,
167732,"Babyfood, banana no tapioca, strained",baby food,
167733,"Babyfood, banana apple dessert, strained",baby food,
167734,"Breakfast bar, corn flake crust with fruit",breakfast bar,
167735,"Cheese, mozzarella, low sodium",mozzarella cheese,
167736,"Mayonnaise dressing, no cholesterol",mayonnaise,
167737,"Oil, corn, peanut, and olive",peanut corn olive oil,
167738,"Pie fillings, blueberry, canned",blueberry filling,
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",drink,
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix",chocolate pudding mix,
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",pudding mix,
167742,"Mollusks, scallop, (bay and sea), cooked, steamed",scallop,
167743,"Syrup, Cane",cane syrup,
167744,"Mollusks, snail, raw",snail,
167745,"Turtle, green, raw",turtle,
167746,"Lemons, raw, without peel",lemon,
167747,"Lemon juice, raw",lemon juice,
167748,"Lemon juice from concentrate, canned or bottled",lemon juice,
167749,"Lemon peel, raw",lemon peel,
167750,"Prickly pears, raw",prickly pear,
167751,"Plums, dried (prunes), stewed, without added sugar",plum,
167752,"Plums, dried (prunes), stewed, with added sugar",plum,
167753,"Prune juice, canned",prune juice,
167754,"Pummelo, raw",pummelo,
167755,"Raspberries, raw",raspberry,
167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids",raspberry,
167757,"Raspberries, frozen, red, sweetened",raspberry,
167758,"Rhubarb, raw",rhubarb,
167759,"Sapodilla, raw",sapodilla,
167760,"Sapote, mamey, raw",sapote,
167761,"Soursop, raw",soursop,
167762,"Strawberries, raw",strawberry,
167763,"Tamarinds, raw",tamarind,
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",fruit salad,
167765,"Watermelon, raw",watermelon,
167766,"Maraschino cherries, canned, drained",cherry,
167767,"Pineapple, canned, juice pack, drained",pineapple,
167768,"Apricots, canned, heavy syrup, drained",apricot,
167769,"Cherries, sour, canned, water pack, drained",cherry,
167770,"Cherries, sweet, canned, pitted, heavy syrup, drained",cherry,
167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",apple juice,
167772,"Applesauce, canned, unsweetened, with added ascorbic acid",apple sauce,
167773,"Applesauce, canned, sweetened, with salt",apple sauce,
167774,"Grapefruit juice, pink, raw",grapefruit juice,
167775,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",apple juice,
167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",pear,
167777,"Pears, raw, red anjou",pear,
167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",pear,
167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",pear,
167780,Prune puree,prune,
167781,Candied fruit,candied fruit,
167782,"Abiyuch, raw",abiyuch,
167783,"Rowal, raw",rowal,
167784,"Guava nectar, canned, with added ascorbic acid",huava nectar,
167785,"Mango nectar, canned",mango nectar,
167786,"Tamarind nectar, canned",tamarind nectar,
167787,"Pomegranate juice, bottled",pomegranate juice,
167788,"Nance, canned, syrup, drained",nance,
167789,"Nance, frozen, unsweetened",nance,
167790,"Naranjilla (lulo) pulp, frozen, unsweetened",naranjilla,
167791,Horned melon (Kiwano),melon,
167792,Orange Pineapple Juice Blend,orange pineapple juice,
167793,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",apple,
167794,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",orange juice,
167795,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",mango smoothie,
167796,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",green smoothie,
167797,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",berry smoothie,
167798,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",green smoothie,
167799,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",berry smoothie,
167800,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",apple juice,
167801,"Lemon juice from concentrate, bottled, CONCORD",lemon juice,
167802,"Lemon juice from concentrate, bottled, REAL LEMON",lemon juice,
167803,"Cranberry sauce, whole, canned, OCEAN SPRAY",cranberry sauce,
167804,"Cranberry sauce, jellied, canned, OCEAN SPRAY",cranberry sauce,
167805,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",grapefruit juice,
167806,Baobab powder,baobab powder,
167807,"Cherry juice, tart",cherry juice,
167808,"Raspberries, puree, seedless",raspberry puree,
167809,"Raspberries, puree, with seeds",raspberry puree,
167810,"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",pork,
167811,"Pork, fresh, backfat, raw",pork,
